Quantidade de componentes conexas: 1648
Componente 943: tamanho = 7
Componente 944: tamanho = 3
Componente 945: tamanho = 3
Componente 946: tamanho = 3
Componente 947: tamanho = 5
Componente 948: tamanho = 2
Componente 949: tamanho = 4
Componente 950: tamanho = 5
Componente 951: tamanho = 14
Componente 952: tamanho = 7
Componente 953: tamanho = 6
Componente 954: tamanho = 5
Componente 955: tamanho = 2
Componente 956: tamanho = 2
Componente 957: tamanho = 2
Componente 958: tamanho = 3
Componente 959: tamanho = 3
Componente 960: tamanho = 6
Componente 961: tamanho = 3
Componente 962: tamanho = 8
Componente 963: tamanho = 7
Componente 964: tamanho = 8
Componente 965: tamanho = 7
Componente 966: tamanho = 3
Componente 967: tamanho = 15
Componente 968: tamanho = 6
Componente 969: tamanho = 2
Componente 970: tamanho = 4
Componente 971: tamanho = 2
Componente 972: tamanho = 10
Componente 973: tamanho = 3
Componente 974: tamanho = 5
Componente 975: tamanho = 5
Componente 976: tamanho = 2
Componente 977: tamanho = 2
Componente 978: tamanho = 8
Componente 979: tamanho = 4
Componente 980: tamanho = 3
Componente 981: tamanho = 2
Componente 982: tamanho = 4
Componente 983: tamanho = 4
Componente 984: tamanho = 4
Componente 985: tamanho = 2
Componente 986: tamanho = 2
Componente 987: tamanho = 2
Componente 988: tamanho = 3
Componente 989: tamanho = 2
Componente 990: tamanho = 2
Componente 991: tamanho = 4
Componente 992: tamanho = 3
Componente 993: tamanho = 5
Componente 994: tamanho = 3
Componente 995: tamanho = 5
