Node - Centrality
MOHAN JOSHI - 0.0020
SHRADDHA KAPOOR - 0.0020
PATRICK WILSON - 0.0020
SEEMA BISWAS - 0.0020
KELSEY GRAMMER - 0.0020
CHRISTOPHER WALKEN - 0.0020
FOREST WHITAKER - 0.0020
FRANK GRILLO - 0.0020
DEEPAK DOBRIYAL - 0.0020
DENZEL WASHINGTON - 0.0020
ROB SCHNEIDER - 0.0020
BILL MURRAY - 0.0020
ELLEN BURSTYN - 0.0020
ANNE HATHAWAY - 0.0020
HIMANI SHIVPURI - 0.0020
PANKAJ TRIPATHI - 0.0020
SOL GORSS - 0.0020
STEPHEN TOBOLOWSKY - 0.0020
KEN DAVITIAN - 0.0020
CHARLES SULLIVAN - 0.0020
MATT DAMON - 0.0020
EMILY MORTIMER - 0.0020
BRIAN HOWE - 0.0020
DINAH SHORE - 0.0020
DOROTHY CHRISTY - 0.0020
ERIC ROBERTS - 0.0020
RICHARD MASUR - 0.0020
VIKRAM GOKHALE - 0.0020
SARAH PAULSON - 0.0020
JOSH LUCAS - 0.0020
ARUNA IRANI - 0.0020
BONITA GRANVILLE - 0.0020
THOMAS E. JACKSON - 0.0020
WILL SASSO - 0.0020
VIPIN SHARMA - 0.0020
LUIS TOSAR - 0.0020
J.K. SIMMONS - 0.0020
CHRISTINA RICCI - 0.0020
ALAN CUMMING - 0.0020
HARRIET WALTER - 0.0020
SAM WORTHINGTON - 0.0020
REKHA - 0.0020
VAL KILMER - 0.0020
BRYAN CRANSTON - 0.0020
PARKER POSEY - 0.0020
NICK OFFERMAN - 0.0020
CHRISTOPHER LEE - 0.0020
RUSSELL HICKS - 0.0020
LENA HORNE - 0.0020
SEANN WILLIAM SCOTT - 0.0020
JAMES FINLAYSON - 0.0020
KONKONA SEN SHARMA - 0.0020
EDDIE MURPHY - 0.0020
EMMA THOMPSON - 0.0020
PRAN - 0.0020
EVAN PETERS - 0.0020
SHIA LABEOUF - 0.0020
ZACHARY QUINTO - 0.0020
JAMES FLAVIN - 0.0020
IMELDA STAUNTON - 0.0020
HUGH FARR - 0.0020
SATISH SHAH - 0.0020
RICKY GERVAIS - 0.0020
GRAHAM PHILLIPS - 0.0020
JAMES CRAVEN - 0.0020
KRISTIN SCOTT THOMAS - 0.0019
JAMES CAAN - 0.0019
MISSI PYLE - 0.0019
MANAV KAUL - 0.0019
JUDY GREER - 0.0019
SAURABH SHUKLA - 0.0019
ZAKIR HUSSAIN - 0.0019
AMANDA SEYFRIED - 0.0019
CHRIS PRATT - 0.0019
JACK MULHALL - 0.0019
LUCY LIU - 0.0019
VIVEK OBEROI - 0.0019
JACK BLACK - 0.0019
BENICIO DEL TORO - 0.0019
MICHAEL STUHLBARG - 0.0019
MICHAEL CERA - 0.0019
TIM BLAKE NELSON - 0.0019
SAHAJAK BOONTHANAKIT - 0.0019
ANNASOPHIA ROBB - 0.0019
JEREMY PIVEN - 0.0019
GEORGE MORRELL - 0.0019
DWAYNE JOHNSON - 0.0019
DONNIE YEN - 0.0019
FRANK LANGELLA - 0.0019
EDDIE MARSAN - 0.0019
JIMMY SHERGILL - 0.0019
JOHNY LEVER - 0.0019
MICHELLE RODRIGUEZ - 0.0019
PATRICK STEWART - 0.0019
BRUCE DERN - 0.0019
ANNA FARIS - 0.0019
GARY COLE - 0.0019
DAKOTA FANNING - 0.0019
KEVIN CORRIGAN - 0.0019
VAN JOHNSON - 0.0019
VAN HEFLIN - 0.0019
CARRIE PRESTON - 0.0019
TIM CURRY - 0.0019
TONI COLLETTE - 0.0019
TERENCE STAMP - 0.0019
SEAN BEAN - 0.0019
BURT REYNOLDS - 0.0019
ANDY SAMBERG - 0.0019
ADAM DRIVER - 0.0019
TANUJA - 0.0019
VERA FARMIGA - 0.0019
IMRAN KHAN - 0.0019
CHEECH MARIN - 0.0019
HRITHIK ROSHAN - 0.0019
MAE WHITMAN - 0.0019
ELLE FANNING - 0.0018
KEVIN COSTNER - 0.0018
MILA KUNIS - 0.0018
SIMON HELBERG - 0.0018
SHARON STONE - 0.0018
JASON SCHWARTZMAN - 0.0018
J.B. SMOOVE - 0.0018
ANDREW DALY - 0.0018
SELENA GOMEZ - 0.0018
CHRIS PINE - 0.0018
KUNAL KAPOOR - 0.0018
SIMON PEGG - 0.0018
AISHWARYA RAI BACHCHAN - 0.0018
DANNY DENZONGPA - 0.0018
PHILIP SEYMOUR HOFFMAN - 0.0018
WES BENTLEY - 0.0018
JEFF DANIELS - 0.0018
TOM EVERETT SCOTT - 0.0018
DAVID HASSELHOFF - 0.0018
RACHAEL HARRIS - 0.0018
KIM COATES - 0.0018
HUGO WEAVING - 0.0018
TED LEVINE - 0.0018
ED LAUTER - 0.0018
FORREST TAYLOR - 0.0018
RENIE RIANO - 0.0018
CLARENCE STRAIGHT - 0.0018
JOHN HURT - 0.0018
JOHN CORBETT - 0.0018
MALCOLM MCDOWELL - 0.0018
COLIN FIRTH - 0.0018
BILL PULLMAN - 0.0018
SHREYAS TALPADE - 0.0018
MADHURI DIXIT - 0.0018
KATE BECKINSALE - 0.0018
PETER STORMARE - 0.0018
BEAU BRIDGES - 0.0018
JACK NICHOLSON - 0.0018
MANU RISHI CHADHA - 0.0018
DANIEL MAYS - 0.0018
JOHN VERNON - 0.0018
VANESSA HUDGENS - 0.0018
ROBERT PATTINSON - 0.0018
RITCHIE MONTGOMERY - 0.0018
SACHA BARON COHEN - 0.0018
JUDI DENCH - 0.0018
JOE DON BAKER - 0.0018
TED DYKSTRA - 0.0018
RAHUL SINGH - 0.0018
BASIL RATHBONE - 0.0018
ULRICH THOMSEN - 0.0018
KURT RUSSELL - 0.0018
JANET MURDOCH - 0.0018
TAISSA FARMIGA - 0.0018
MICHAEL CAINE - 0.0018
JAKE GYLLENHAAL - 0.0018
JENNIFER EHLE - 0.0018
ANDRÉ HOLLAND - 0.0018
SANJAY NARVEKAR - 0.0018
BELLA THORNE - 0.0018
ETHAN SUPLEE - 0.0018
KRISTIN CHENOWETH - 0.0018
TERESA PALMER - 0.0018
BRITTANY SNOW - 0.0018
JOHN CARROLL LYNCH - 0.0018
ED CASSIDY - 0.0018
AUDREY WASILEWSKI - 0.0018
KANGANA RANAUT - 0.0018
MERRILL MCCORMICK - 0.0018
JACK INGRAM - 0.0018
KIERAN CULKIN - 0.0018
JOHN CUSACK - 0.0018
JUHI CHAWLA - 0.0018
STEVEN SEAGAL - 0.0018
NATASHA LYONNE - 0.0018
EMILY WATSON - 0.0018
NATALIE PORTMAN - 0.0018
AMY POEHLER - 0.0018
MOHNISH BAHL - 0.0018
REEMA LAGOO - 0.0018
CHRISTINA APPLEGATE - 0.0018
CHRISTINA HENDRICKS - 0.0018
MARTIN SHEEN - 0.0018
SYLVESTER STALLONE - 0.0018
MANOJ PAHWA - 0.0018
BRUCE MCGILL - 0.0018
HERMAN HACK - 0.0018
SYD SAYLOR - 0.0018
EDDIE ALBERT - 0.0018
ANIKA NONI ROSE - 0.0018
JOEY KING - 0.0018
OMONI OBOLI - 0.0018
MELANIE LYNSKEY - 0.0018
BRYCE DALLAS HOWARD - 0.0018
DAVID STRATHAIRN - 0.0018
JESSICA BIEL - 0.0018
JOJU GEORGE - 0.0018
KUMUD MISHRA - 0.0018
DOM DELUISE - 0.0018
KARISMA KAPOOR - 0.0018
KARI WAHLGREN - 0.0018
DAVE BAUTISTA - 0.0018
ROMOLA GARAI - 0.0018
HEATHER GRAHAM - 0.0018
MARK RUFFALO - 0.0018
MICHELLE WILLIAMS - 0.0018
GIANCARLO ESPOSITO - 0.0018
RZA - 0.0018
VINCENT D'ONOFRIO - 0.0018
HAROLD PERRINEAU - 0.0018
TIMOTHY SPALL - 0.0018
BILL HADER - 0.0018
BRUCE GRAY - 0.0018
BRIE LARSON - 0.0018
JOHN DILSON - 0.0018
BETTE MIDLER - 0.0017
PHILIP BAKER HALL - 0.0017
